series,mass,rows,base_error,rc_error,forecast_error,merged_error,top_error,stack_error
HOBBIES_1_169,3288.0,1140,2944.401918055707,2941.9011227473766,2943.408080941612,2941.9011227473766,2943.1583870421177,2943.2729301042837
HOBBIES_1_170,165.0,1140,166.1705247088239,165.16794118636423,166.18191573497103,165.16794118636423,166.1705247088239,165.03895670995064
HOBBIES_1_173,601.0,1140,562.7457751775889,563.2717329674406,562.0792988880253,563.2717329674406,562.865704410664,555.7823783993333
HOBBIES_1_174,124.0,1140,124.04643009417603,124.04555164633581,124.00000004516205,124.04555164633581,124.04643009417603,124.00445393525368
HOBBIES_1_178,5059.0,1140,4342.575388262611,4342.1348621695815,4345.015801261879,4342.1348621695815,4346.561557878998,4318.384669032306
HOBBIES_1_185,447.0,1140,439.5503541883206,439.31685846716084,438.9524643673957,439.31685846716084,439.6156875235887,438.5879027872048
HOBBIES_1_187,363.0,1140,366.60766752249754,366.7021441389942,366.4632507301556,366.7021441389942,366.8396905656475,366.34157154784214
HOBBIES_1_188,221.0,1140,221.26284967816972,221.23266840746092,221.00000025567107,221.23266840746092,221.26284967816972,221.00310590455598
HOBBIES_1_192,64.0,1140,64.0,64.0,64.0,64.0,64.0,64.0
HOBBIES_1_195,441.0,1140,438.7213624125352,437.5966624837845,438.42549207235413,437.5966624837845,438.6790531632355,438.4530739814987
HOBBIES_1_197,168.0,1140,168.11467416641216,168.11462126755362,168.00000011154233,168.11462126755362,168.11467416641216,168.00161417554847
HOBBIES_1_198,734.0,1140,674.7849296577258,673.9167258107527,675.5878455645981,673.9167258107527,674.510391897863,669.8987957911881
HOBBIES_1_200,634.0,1140,577.3706200512806,579.3024755599548,576.4893008246089,579.3024755599548,578.2305504109204,573.760054105258
HOBBIES_1_202,572.0,1140,577.836363499177,576.4067729690913,577.5591277542283,576.4067729690913,578.0113908046878,579.7966419220477
HOBBIES_1_204,1337.0,1140,1077.8297104313033,1084.4510012763246,1073.7743063075573,1084.4510012763246,1078.6272358550777,1071.2037466521354
HOBBIES_1_206,938.0,1140,784.7489368907895,783.6350936823236,783.5653518119357,783.6350936823236,783.9190385491771,783.7044250008657
HOBBIES_1_207,331.0,1140,331.9414472633635,331.99945000303035,331.909189626213,331.99945000303035,332.0773460325877,332.21296403598
HOBBIES_1_208,689.0,1140,644.7926766652554,643.5257521284714,643.9616943277778,643.5257521284714,645.094113568,642.6870968030182
HOBBIES_1_211,2147.0,1140,1623.3576930341499,1620.2035207786066,1623.3474603649706,1620.2035207786066,1621.3090617330395,1618.2083118225219
HOBBIES_1_216,426.0,1140,426.2866755206016,425.5994662814925,424.8760540835974,425.5994662814925,426.21824621148767,421.17771628467835
HOBBIES_1_217,155.0,1140,155.7244970369994,155.72581923314627,155.5394647228623,155.72581923314627,155.771800411158,155.3965168939816
HOBBIES_1_218,188.0,1140,188.17763544028043,188.1737270410942,188.1227497671803,188.1737270410942,188.17763544028043,188.0036355001684
HOBBIES_1_219,215.0,1140,215.0,215.0,215.0,215.0,215.0,215.0
HOBBIES_1_220,453.0,1140,451.9311022109975,451.7930116282216,451.6249044021251,451.7930116282216,451.88435956439525,450.5178412820619
HOBBIES_1_224,278.0,1140,275.75069642172633,275.71002719280887,275.3460269350057,275.71002719280887,275.84302450530635,273.2094527138048
HOBBIES_1_225,364.0,1140,366.0918979815923,366.0220271631113,365.6745884200269,366.0220271631113,366.09892133457726,365.09654801165397
HOBBIES_1_227,208.0,1140,208.15425081028098,208.14418797880597,208.00721840682863,208.14418797880597,208.1469585875112,207.87011635554308
HOBBIES_1_229,266.0,1140,266.12900200518493,266.0891909490672,266.0000001254789,266.0891909490672,266.12900200518493,266.0044401830867
HOBBIES_1_230,139.0,1140,139.00470094715334,139.00471114987624,139.00000000457254,139.00471114987624,139.00470094715334,139.00193174452863
HOBBIES_1_231,763.0,1140,677.1116826545873,677.9419443210392,675.4672903915988,677.9419443210392,679.2169299667476,674.28049731815
HOBBIES_1_232,1626.0,1140,1642.8476249919445,1643.4366191749364,1640.4812015839934,1643.4366191749364,1648.1270175175855,1640.1895687414865
HOBBIES_1_233,3993.0,1140,3080.017846653261,3074.5113013401424,3080.4165930058525,3074.5113013401424,3077.1299876318626,3062.3439084477995
HOBBIES_1_234,7344.0,1140,6860.592205791274,6850.010461062768,6852.566020877153,6850.010461062768,6842.059544568156,6809.784204121152
HOBBIES_1_238,422.0,1140,429.635365693612,429.90912173623485,429.6384475912395,429.90912173623485,430.2041432794256,429.2216471134697
HOBBIES_1_239,363.0,1140,364.09397973243006,364.10303516698417,363.5485680010562,364.10303516698417,364.1380280773951,364.62907224921173
HOBBIES_1_242,916.0,1140,848.1211115139374,848.6045522143634,847.351453977174,848.6045522143634,848.6566128259007,847.0222948363615
HOBBIES_1_243,286.0,1140,285.6080898099224,285.61031202514334,285.36847348253696,285.61031202514334,285.62951130114993,285.3728034465531
HOBBIES_1_244,4108.0,1140,3134.2310383483737,3134.278237169048,3129.8396691199487,3134.278237169048,3133.7337466155577,3132.1248089522737
HOBBIES_1_245,186.0,1140,187.4925467011671,186.47774798187896,186.29436500169464,186.47774798187896,187.49203095335508,186.55537667971282
HOBBIES_1_246,370.0,1140,370.2333379223385,370.24846538923816,370.18031325366144,370.24846538923816,370.387456370701,369.37630097407254
HOBBIES_1_247,867.0,1140,737.2832112546648,737.5079991149256,737.5839096665107,737.5079991149256,736.5928530811875,733.8278265266695
HOBBIES_1_248,1460.0,1140,1086.6919254908844,1081.6545064486777,1088.165721127948,1081.6545064486777,1084.6466492993738,1083.6788463686871
HOBBIES_1_249,786.0,1140,713.6613171978471,713.9547994534796,713.2835652004524,713.9547994534796,714.0979680400992,711.0155969753912
HOBBIES_1_250,179.0,1140,178.99910817447767,178.9991353478236,178.9999999991325,178.9991353478236,178.99910817447767,179.00088267706582
HOBBIES_1_252,1994.0,1140,1766.0641540441197,1764.9199201503607,1766.0223859954494,1764.9199201503607,1766.2652829807375,1750.02304672654
HOBBIES_1_253,441.0,1140,440.1552733791566,438.34296475597756,439.00677071100824,438.34296475597756,440.48705630010284,439.21079393879313
HOBBIES_1_254,6551.0,1140,4655.501295744557,4653.895889329167,4648.387178336369,4653.895889329167,4650.8591697373395,4652.22233543923
HOBBIES_1_257,226.0,1140,230.89359259851608,230.87432853477327,230.64984233894089,230.87432853477327,231.1938934741433,230.5953293398256
HOBBIES_1_258,707.0,1140,651.8342832326534,649.4910762423681,650.0690761831746,649.4910762423681,653.4070105791876,645.1479112715629
HOBBIES_1_259,453.0,1140,450.87024767392484,450.7253367514225,450.47199339927494,450.7253367514225,450.8603538384128,452.5155969722357
HOBBIES_1_260,23.0,1140,22.639908190211415,22.62329387982131,22.564575714292992,22.62329387982131,22.597750713009283,22.95170724270861
HOBBIES_1_261,4622.0,1140,3649.1232977852424,3641.035456576855,3641.339575535195,3641.035456576855,3639.868656501333,3624.5983404844283
HOBBIES_1_263,187.0,1140,187.03861790050914,187.0383496242046,187.0000000375632,187.0383496242046,187.03861790050914,187.00126507771472
HOBBIES_1_264,436.0,1140,412.71661025653776,412.98936088889866,412.23982725769804,412.98936088889866,413.2600836274743,411.52451146264673
