series,mass,noq_error
29::858,1.9,0.4111863757022636
29::862,1.4,1.1151332235375995
29::863,38.4,7.807700334100966
29::90,6.0,5.0654849495479795
2::104,20.1,6.275315916215531
2::11,3.6,1.2563848987464277
2::115,3.0999999999999996,1.8520453986854646
2::118,7.9,2.726310185234038
2::12,4.1,0.9506584211590479
2::122,26.9,8.72349175556809
2::127,7.9,2.525673205455759
2::129,6.4,5.1345921137825945
2::135,2.5,1.5659106423700977
2::136,3.5,2.5094196481614173
2::140,3.0,1.0800978619686723
2::145,2.8,0.5247943833884721
2::150,3.9,1.0204949692591234
2::16,3.9,1.812590518376352
2::181,3.6799999999999997,1.5464782678487616
2::19,5.2,7.87784535063974
2::193,5.9,1.5728159703212683
2::194,7.2,1.1513304536442592
2::200,3.4,1.0430131708851398
2::201,7.0,4.02501603023746
2::207,8.8,2.1794714194547407
2::21,4.8,1.8014649287418103
2::212,3.6,1.950319593182358
2::213,3.8,1.9008065187919603
2::215,21.7,8.363800503797334
2::216,4.0,1.6071881513387636
2::220,3.2,0.9676530864677113
2::223,6.9,3.0958950144366857
2::23,4.5600000000000005,2.13551153684211
2::240,11.8,2.2260969479464716
2::250,4.140000000000001,1.826682188348589
2::259,2.4,1.2084693103522683
2::26,3.3,1.043598807557395
2::27,1.1,0.28498551614620843
2::290,10.9,3.068849126998516
2::291,5.2,1.6855388604073167
2::292,8.38,1.9216992544028983
2::300,42.81,10.672956214261852
2::321,5.8,2.376161575538575
2::345,4.98,2.589204614886876
2::363,7.5,1.3849602080528305
2::379,4.6,2.7843804571080657
2::4,6.6,3.179359325420596
2::41,8.6,3.8476836764375673
2::416,4.06,2.318245081445354
2::422,5.2,1.7027945664353725
2::452,4.5,1.312192482764778
2::473,3.3,0.839437025839763
2::486,14.6,4.085663771677314
2::496,5.3,1.8139275959714605
2::500,1.7,1.0941670261478273
2::549,5.1000000000000005,1.5714777911353806
2::554,5.2,1.4717965322480335
2::556,1.4,1.6446178296569738
2::567,5.5,1.4122931744716083
2::578,7.9,2.6059551903014286
2::58,3.4,1.0544087897407697
2::580,28.8,8.859748924940918
2::6,9.17,1.3428575285239042
2::600,17.5,6.2473113492805545
2::633,1.6600000000000001,0.7882198639704925
2::634,2.1,1.4323545045336692
2::635,2.7,1.2527949034831762
2::638,4.8,1.65475979349418
2::644,3.3000000000000003,2.610031721989283
2::645,2.7800000000000002,0.7339938595886124
2::650,4.3,0.9448761804937756
2::670,5.0,1.6679437075921635
2::686,3.5,1.3708632392883726
2::691,46.5,3.1878509619335125
2::70,32.4,9.26704622975505
2::715,6.0,2.0464084496741153
2::719,4.3,1.2745020403995115
2::728,3.8,0.8631176582968532
2::76,5.800000000000001,6.292166942844654
2::77,3.2,2.5370630617927246
2::774,13.4,5.017487273274668
2::775,11.5,8.5864291531582
2::783,8.6,1.982066490664882
2::802,3.5,3.6781799955145695
2::806,3.7,1.4521556185047806
2::829,2.4,1.3825177268134412
2::834,12.0,6.014055127226858
2::843,3.8,1.1550606016509273
2::93,4.2,0.7721062770934841
34::104,19.2,8.658276238359344
34::108,4.5,1.5257710007786387
34::11,4.3,0.8866234394474428
34::114,9.3,2.0979146995069247
34::115,2.95,1.2363373698508826
34::117,22.0,7.870922862661104
34::118,8.6,2.034561308686563
34::12,6.9,3.2426884939347036
34::122,26.8,6.9868944211933925
34::126,11.6,2.8244513149471553
34::127,8.8,2.2765808053619834
34::135,2.9,0.6141998005185905
34::136,4.4,2.055173626397129
34::140,4.7,1.4332412659200737
34::144,8.0,2.82780728838981
34::150,4.2,1.968512805401503
34::16,2.7,0.8926339004982011
34::166,13.8,1.9384670977350917
34::17,4.1,1.057595867905257
34::18,6.8,3.437414732594511
34::19,8.4,13.008525881299729
34::190,4.0,3.5164536861478393
34::2,6.8,3.5482638320290185
34::201,9.5,2.447627354241983
34::207,11.9,2.58926175606539
34::21,5.9,2.0483688159999676
34::212,3.9499999999999997,1.552283872257562
34::214,5.9,2.0874135080230998
34::215,22.7,7.506487367807232
34::218,5.6,2.50068321133088
34::220,3.8,1.25753685686917
34::223,5.2,2.053778256887492
34::23,5.1,1.7859948604535605
34::240,16.6,3.5722444584620856
34::250,4.34,1.1334725014347877
34::251,1.9000000000000001,1.4238675448590035
34::253,1.6,4.872187717403087
34::26,4.34,1.713921064790263
